x,y,dist,orient,direct,SrcNum,DetNum,OptGrp
-91.9238815542512,7.07106781186548,128.062484748657,hori,diagonal,S03,D15,none
-91.9238815542512,-7.07106781186548,134.164078649987,hori,diagonal,S03,D16,none
-77.7817459305202,21.2132034355964,156.204993518133,hori,antidiag,S03,D17,none
-77.7817459305202,7.07106781186548,156.204993518133,hori,diagonal,S03,D18,none
-77.7817459305202,-7.07106781186548,161.245154965971,hori,diagonal,S03,D19,none
-63.6396103067893,21.2132034355964,184.390889145858,hori,antidiag,S03,D20,none
-63.6396103067893,7.07106781186548,184.390889145858,hori,diagonal,S03,D21,none
-63.6396103067893,-7.07106781186548,188.679622641132,hori,diagonal,S03,D22,none
-49.4974746830583,35.3553390593274,216.333076527839,hori,antidiag,S03,D23,none
-49.4974746830583,21.2132034355964,212.602916254693,hori,antidiag,S03,D24,none
-49.4974746830583,7.07106781186548,212.602916254693,hori,diagonal,S03,D25,none
-35.3553390593274,35.3553390593274,244.131112314674,hori,antidiag,S03,D26,none
-35.3553390593274,21.2132034355964,240.831891575846,hori,antidiag,S03,D27,none
-35.3553390593274,7.07106781186548,240.831891575846,hori,diagonal,S03,D28,none
-134.350288425444,63.6396103067893,20,vert,antidiag,S04,D01,none
-134.350288425444,49.4974746830583,20,vert,diagonal,S05,D01,none
-134.350288425444,35.3553390593274,44.7213595499958,vert,diagonal,S06,D01,none
-120.208152801713,63.6396103067893,44.7213595499958,hori,antidiag,S07,D01,none
-120.208152801713,49.4974746830583,44.7213595499958,hori,diagonal,S08,D01,none
-120.208152801713,35.3553390593274,60,vert,diagonal,S09,D01,none
-120.208152801713,21.2132034355964,82.4621125123532,vert,diagonal,S10,D01,none
-106.066017177982,63.6396103067893,72.1110255092798,hori,antidiag,S11,D01,none
-106.066017177982,49.4974746830583,72.1110255092798,hori,diagonal,S12,D01,none
-106.066017177982,35.3553390593274,82.4621125123532,hori,diagonal,S13,D01,none
-106.066017177982,21.2132034355964,100,vert,diagonal,S14,D01,none
-91.9238815542512,49.4974746830583,100,hori,diagonal,S15,D01,none
-91.9238815542512,35.3553390593274,107.70329614269,hori,diagonal,S16,D01,none
-91.9238815542512,21.2132034355964,121.655250605964,hori,diagonal,S17,D01,none
-77.7817459305202,49.4974746830583,128.062484748657,hori,diagonal,S18,D01,none
-77.7817459305202,35.3553390593274,134.164078649987,hori,diagonal,S19,D01,none
-77.7817459305202,21.2132034355964,145.60219778561,hori,diagonal,S20,D01,none
-63.6396103067893,49.4974746830583,156.204993518133,hori,diagonal,S21,D01,none
-63.6396103067893,35.3553390593274,161.245154965971,hori,diagonal,S22,D01,none
-63.6396103067893,21.2132034355964,170.880074906351,hori,diagonal,S23,D01,none
-49.4974746830583,49.4974746830583,184.390889145858,hori,diagonal,S24,D01,none
-49.4974746830583,35.3553390593274,188.679622641132,hori,diagonal,S25,D01,none
-49.4974746830583,21.2132034355964,196.977156035922,hori,diagonal,S26,D01,none
-35.3553390593274,63.6396103067893,212.602916254693,hori,antidiag,S27,D01,none
-35.3553390593274,49.4974746830583,212.602916254693,hori,diagonal,S28,D01,none
-35.3553390593274,35.3553390593274,216.333076527839,hori,diagonal,S29,D01,none
-35.3553390593274,21.2132034355964,223.606797749979,hori,diagonal,S30,D01,none
-21.2132034355964,63.6396103067893,240.831891575846,hori,antidiag,S31,D01,none
-21.2132034355964,49.4974746830583,240.831891575846,hori,diagonal,S32,D01,none
-134.350288425444,49.4974746830583,44.7213595499958,vert,antidiag,S04,D02,none
-134.350288425444,35.3553390593274,20,vert,antidiag,S05,D02,none
-134.350288425444,21.2132034355964,20,vert,diagonal,S06,D02,none
-120.208152801713,49.4974746830583,60,vert,antidiag,S07,D02,none
-120.208152801713,35.3553390593274,44.7213595499958,hori,antidiag,S08,D02,none
-120.208152801713,21.2132034355964,44.7213595499958,hori,diagonal,S09,D02,none
-120.208152801713,7.07106781186548,60,vert,diagonal,S10,D02,none
-106.066017177982,49.4974746830583,82.4621125123532,hori,antidiag,S11,D02,none
-106.066017177982,35.3553390593274,72.1110255092798,hori,antidiag,S12,D02,none
-106.066017177982,21.2132034355964,72.1110255092798,hori,diagonal,S13,D02,none
-106.066017177982,7.07106781186548,82.4621125123532,hori,diagonal,S14,D02,none
-91.9238815542512,35.3553390593274,100,hori,antidiag,S15,D02,none
-91.9238815542512,21.2132034355964,100,hori,diagonal,S16,D02,none
-91.9238815542512,7.07106781186548,107.70329614269,hori,diagonal,S17,D02,none
-77.7817459305202,35.3553390593274,128.062484748657,hori,antidiag,S18,D02,none
-77.7817459305202,21.2132034355964,128.062484748657,hori,diagonal,S19,D02,none
-77.7817459305202,7.07106781186548,134.164078649987,hori,diagonal,S20,D02,none
-63.6396103067893,35.3553390593274,156.204993518133,hori,antidiag,S21,D02,none
-63.6396103067893,21.2132034355964,156.204993518133,hori,diagonal,S22,D02,none
-63.6396103067893,7.07106781186548,161.245154965971,hori,diagonal,S23,D02,none
-49.4974746830583,35.3553390593274,184.390889145858,hori,antidiag,S24,D02,none
-49.4974746830583,21.2132034355964,184.390889145858,hori,diagonal,S25,D02,none
-49.4974746830583,7.07106781186548,188.679622641132,hori,diagonal,S26,D02,none
-35.3553390593274,49.4974746830583,216.333076527839,hori,antidiag,S27,D02,none
-35.3553390593274,35.3553390593274,212.602916254693,hori,antidiag,S28,D02,none
-35.3553390593274,21.2132034355964,212.602916254693,hori,diagonal,S29,D02,none
-35.3553390593274,7.07106781186548,216.333076527839,hori,diagonal,S30,D02,none
-21.2132034355964,49.4974746830583,244.131112314674,hori,antidiag,S31,D02,none
-21.2132034355964,35.3553390593274,240.831891575846,hori,antidiag,S32,D02,none
-134.350288425444,35.3553390593274,72.1110255092798,vert,antidiag,S04,D03,none
-134.350288425444,21.2132034355964,44.7213595499958,vert,antidiag,S05,D03,none
-134.350288425444,7.07106781186548,20,vert,antidiag,S06,D03,none
-120.208152801713,35.3553390593274,82.4621125123532,vert,antidiag,S07,D03,none
-120.208152801713,21.2132034355964,60,vert,antidiag,S08,D03,none
-120.208152801713,7.07106781186548,44.7213595499958,hori,antidiag,S09,D03,none
