x,y,dist,orient,direct,SrcNum,DetNum
-6.364,6.364,18.000,vert,diagonal,S01,D02
-6.364,-6.364,40.249,vert,diagonal,S01,D05
-6.364,-19.092,64.900,vert,diagonal,S01,D08
-6.364,-31.820,90.000,vert,diagonal,S01,D11
6.364,6.364,40.249,hori,diagonal,S01,D03
6.364,-6.364,54.000,vert,diagonal,S01,D06
6.364,-19.092,74.216,vert,diagonal,S01,D09
6.364,-31.820,96.933,vert,diagonal,S01,D12
6.364,-44.548,120.748,vert,diagonal,S01,D14
-6.364,-6.364,18.000,vert,antidiag,S04,D02
-6.364,-19.092,18.000,vert,diagonal,S04,D05
-6.364,-31.820,40.249,vert,diagonal,S04,D08
-6.364,-44.548,64.900,vert,diagonal,S04,D11
6.364,-6.364,40.249,hori,antidiag,S04,D03
6.364,-19.092,40.249,hori,diagonal,S04,D06
6.364,-31.820,54.000,vert,diagonal,S04,D09
6.364,-44.548,74.216,vert,diagonal,S04,D12
6.364,-57.276,96.933,vert,diagonal,S04,D14
-6.364,-19.092,40.249,vert,antidiag,S08,D02
-6.364,-31.820,18.000,vert,antidiag,S08,D05
-6.364,-44.548,18.000,vert,diagonal,S08,D08
-6.364,-57.276,40.249,vert,diagonal,S08,D11
6.364,-19.092,54.000,vert,antidiag,S08,D03
6.364,-31.820,40.249,hori,antidiag,S08,D06
6.364,-44.548,40.249,hori,diagonal,S08,D09
6.364,-57.276,54.000,vert,diagonal,S08,D12
6.364,-70.004,74.216,vert,diagonal,S08,D14
-6.364,-31.820,64.900,vert,antidiag,S12,D02
-6.364,-44.548,40.249,vert,antidiag,S12,D05
-6.364,-57.276,18.000,vert,antidiag,S12,D08
-6.364,-70.004,18.000,vert,diagonal,S12,D11
6.364,-31.820,74.216,vert,antidiag,S12,D03
6.364,-44.548,54.000,vert,antidiag,S12,D06
6.364,-57.276,40.249,hori,antidiag,S12,D09
6.364,-70.004,40.249,hori,diagonal,S12,D12
6.364,-82.731,54.000,vert,diagonal,S12,D14
-6.364,-44.548,90.000,vert,antidiag,S15,D02
-6.364,-57.276,64.900,vert,antidiag,S15,D05
-6.364,-70.004,40.249,vert,antidiag,S15,D08
-6.364,-82.731,18.000,vert,antidiag,S15,D11
6.364,-44.548,96.933,vert,antidiag,S15,D03
6.364,-57.276,74.216,vert,antidiag,S15,D06
6.364,-70.004,54.000,vert,antidiag,S15,D09
6.364,-82.731,40.249,hori,antidiag,S15,D12
6.364,-95.459,40.249,hori,diagonal,S15,D14
6.364,6.364,18.000,vert,antidiag,S02,D02
6.364,-6.364,18.000,vert,diagonal,S05,D02
6.364,-19.092,40.249,vert,diagonal,S09,D02
6.364,-31.820,64.900,vert,diagonal,S13,D02
6.364,-44.548,90.000,vert,diagonal,S16,D02
19.092,-6.364,40.249,hori,diagonal,S06,D02
19.092,-19.092,54.000,vert,diagonal,S10,D02
19.092,-31.820,74.216,vert,diagonal,S14,D02
6.364,-6.364,40.249,vert,antidiag,S02,D05
6.364,-19.092,18.000,vert,antidiag,S05,D05
6.364,-31.820,18.000,vert,diagonal,S09,D05
6.364,-44.548,40.249,vert,diagonal,S13,D05
6.364,-57.276,64.900,vert,diagonal,S16,D05
19.092,-19.092,40.249,hori,antidiag,S06,D05
19.092,-31.820,40.249,hori,diagonal,S10,D05
19.092,-44.548,54.000,vert,diagonal,S14,D05
6.364,-19.092,64.900,vert,antidiag,S02,D08
6.364,-31.820,40.249,vert,antidiag,S05,D08
6.364,-44.548,18.000,vert,antidiag,S09,D08
6.364,-57.276,18.000,vert,diagonal,S13,D08
6.364,-70.004,40.249,vert,diagonal,S16,D08
19.092,-31.820,54.000,vert,antidiag,S06,D08
19.092,-44.548,40.249,hori,antidiag,S10,D08
19.092,-57.276,40.249,hori,diagonal,S14,D08
6.364,-31.820,90.000,vert,antidiag,S02,D11
6.364,-44.548,64.900,vert,antidiag,S05,D11
6.364,-57.276,40.249,vert,antidiag,S09,D11
6.364,-70.004,18.000,vert,antidiag,S13,D11
6.364,-82.731,18.000,vert,diagonal,S16,D11
19.092,-44.548,74.216,vert,antidiag,S06,D11
19.092,-57.276,54.000,vert,antidiag,S10,D11
19.092,-70.004,40.249,hori,antidiag,S14,D11
19.092,6.364,18.000,vert,diagonal,S02,D03
19.092,-6.364,40.249,vert,diagonal,S02,D06
19.092,-19.092,64.900,vert,diagonal,S02,D09
19.092,-31.820,90.000,vert,diagonal,S02,D12
19.092,-44.548,115.256,vert,diagonal,S02,D14
19.092,-6.364,18.000,vert,antidiag,S05,D03
19.092,-19.092,18.000,vert,diagonal,S05,D06
19.092,-31.820,40.249,vert,diagonal,S05,D09
19.092,-44.548,64.900,vert,diagonal,S05,D12
19.092,-57.276,90.000,vert,diagonal,S05,D14
19.092,-19.092,40.249,vert,antidiag,S09,D03
19.092,-31.820,18.000,vert,antidiag,S09,D06
19.092,-44.548,18.000,vert,diagonal,S09,D09
19.092,-57.276,40.249,vert,diagonal,S09,D12
19.092,-70.004,64.900,vert,diagonal,S09,D14
19.092,-31.820,64.900,vert,antidiag,S13,D03
19.092,-44.548,40.249,vert,antidiag,S13,D06
19.092,-57.276,18.000,vert,antidiag,S13,D09
19.092,-70.004,18.000,vert,diagonal,S13,D12
19.092,-82.731,40.249,vert,diagonal,S13,D14
19.092,-44.548,90.000,vert,antidiag,S16,D03
19.092,-57.276,64.900,vert,antidiag,S16,D06
19.092,-70.004,40.249,vert,antidiag,S16,D09
19.092,-82.731,18.000,vert,antidiag,S16,D12
19.092,-95.459,18.000,vert,diagonal,S16,D14
31.820,-6.364,18.000,vert,diagonal,S06,D03
31.820,-19.092,40.249,vert,diagonal,S10,D03
31.820,-31.820,64.900,vert,diagonal,S14,D03
31.820,-19.092,18.000,vert,antidiag,S06,D06
31.820,-31.820,18.000,vert,diagonal,S10,D06
31.820,-44.548,40.249,vert,diagonal,S14,D06
31.820,-31.820,40.249,vert,antidiag,S06,D09
31.820,-44.548,18.000,vert,antidiag,S10,D09
31.820,-57.276,18.000,vert,diagonal,S14,D09
31.820,-44.548,64.900,vert,antidiag,S06,D12
31.820,-57.276,40.249,vert,antidiag,S10,D12
31.820,-70.004,18.000,vert,antidiag,S14,D12
31.820,-57.276,90.000,vert,antidiag,S06,D14
31.820,-70.004,64.900,vert,antidiag,S10,D14
31.820,-82.731,40.249,vert,antidiag,S14,D14
